Number,State,Year,Population
1,Alabama,2014,4841799
2,Alaska,2014,736283
3,Arizona,2014,6730413
4,Arkansas,2014,2967392
5,California,2014,38596972
6,Colorado,2014,5350101
7,Connecticut,2014,3594524
8,Delaware,2014,932487
9,District of Columbia,2014,662328
10,Florida,2014,19845911
11,Georgia,2014,10067278
12,Hawaii,2014,1414538
13,Idaho,2014,1631112
14,Illinois,2014,12884493
15,Indiana,2014,6593644
16,Iowa,2014,3109350
17,Kansas,2014,2900475
18,Kentucky,2014,4414349
19,Louisiana,2014,4644013
20,Maine,2014,1330513
21,Maryland,2014,5957283
22,Massachusetts,2014,6762596
23,Michigan,2014,9929848
24,Minnesota,2014,5451079
25,Mississippi,2014,2990468
26,Missouri,2014,6056202
27,Montana,2014,1021869
28,Nebraska,2014,1879321
29,Nevada,2014,2817628
30,New Hampshire,2014,1333341
31,New Jersey,2014,8864525
32,New Mexico,2014,2089568
33,New York,2014,19651049
34,North Carolina,2014,9932887
35,North Dakota,2014,737401
36,Ohio,2014,11602700
37,Oklahoma,2014,3878187
38,Oregon,2014,3963244
39,Pennsylvania,2014,12788313
40,Rhode Island,2014,1055936
41,South Carolina,2014,4823617
42,South Dakota,2014,849129
43,Tennessee,2014,6541223
44,Texas,2014,26964333
45,Utah,2014,2936879
46,Vermont,2014,625214
47,Virginia,2014,8310993
48,Washington,2014,7054655
49,West Virginia,2014,1849489
50,Wisconsin,2014,5751525
51,Wyoming,2014,582531
52,United States,2014,318301008