Number,Cumulative Number,State,Region,Year,Spending (in Millions of Dollars),,,,
1,1,Alabama,Southeast,1991,261,,,Max Years,24
1,2,Alabama,Southeast,1992,429,,,,
1,3,Alabama,Southeast,1993,486,,,,
1,4,Alabama,Southeast,1994,533,,,,
1,5,Alabama,Southeast,1995,595,,,,
1,6,Alabama,Southeast,1996,623,,,,
1,7,Alabama,Southeast,1997,419,,,,
1,8,Alabama,Southeast,1998,566,,,,
1,9,Alabama,Southeast,1999,599,,,,
1,10,Alabama,Southeast,2000,792,,,,
1,11,Alabama,Southeast,2001,711,,,,
1,12,Alabama,Southeast,2002,778,,,,
1,13,Alabama,Southeast,2003,875,,,,
1,14,Alabama,Southeast,2004,946,,,,
1,15,Alabama,Southeast,2005,1138,,,,
1,16,Alabama,Southeast,2006,1046,,,,
1,17,Alabama,Southeast,2007,897,,,,
1,18,Alabama,Southeast,2008,1089,,,,
1,19,Alabama,Southeast,2009,1246,,,,
1,20,Alabama,Southeast,2010,2140,,,,
1,21,Alabama,Southeast,2011,1687,,,,
1,22,Alabama,Southeast,2012,2101,,,,
1,23,Alabama,Southeast,2013,1959,,,,
1,24,Alabama,Southeast,2014,2115,,,,
2,1,Alaska,Far West,1991,74,,,,
2,2,Alaska,Far West,1992,91,,,,
2,3,Alaska,Far West,1993,128,,,,
2,4,Alaska,Far West,1994,107,,,,
2,5,Alaska,Far West,1995,110,,,,
2,6,Alaska,Far West,1996,132,,,,
2,7,Alaska,Far West,1997,129,,,,
2,8,Alaska,Far West,1998,129,,,,
2,9,Alaska,Far West,1999,132,,,,
2,10,Alaska,Far West,2000,177,,,,
2,11,Alaska,Far West,2001,213,,,,
2,12,Alaska,Far West,2002,251,,,,
2,13,Alaska,Far West,2003,332,,,,
2,14,Alaska,Far West,2004,283,,,,
2,15,Alaska,Far West,2005,283,,,,
2,16,Alaska,Far West,2006,333,,,,
2,17,Alaska,Far West,2007,327,,,,
2,18,Alaska,Far West,2008,316,,,,
2,19,Alaska,Far West,2009,367,,,,
2,20,Alaska,Far West,2010,366,,,,
2,21,Alaska,Far West,2011,386,,,,
2,22,Alaska,Far West,2012,400,,,,
2,23,Alaska,Far West,2013,363,,,,
2,24,Alaska,Far West,2014,372,,,,
3,1,Arizona,Southwest,1991,608,,,,
3,2,Arizona,Southwest,1992,850,,,,
3,3,Arizona,Southwest,1993,854,,,,
3,4,Arizona,Southwest,1994,951,,,,
3,5,Arizona,Southwest,1995,937,,,,
3,6,Arizona,Southwest,1996,938,,,,
3,7,Arizona,Southwest,1997,944,,,,
3,8,Arizona,Southwest,1998,981,,,,
3,9,Arizona,Southwest,1999,1119,,,,
3,10,Arizona,Southwest,2000,1107,,,,
3,11,Arizona,Southwest,2001,1422,,,,
3,12,Arizona,Southwest,2002,1729,,,,
3,13,Arizona,Southwest,2003,1982,,,,
3,14,Arizona,Southwest,2004,2249,,,,
3,15,Arizona,Southwest,2005,2457,,,,
3,16,Arizona,Southwest,2006,2611,,,,
3,17,Arizona,Southwest,2007,2763,,,,
3,18,Arizona,Southwest,2008,2952,,,,
3,19,Arizona,Southwest,2009,3263,,,,
3,20,Arizona,Southwest,2010,3251,,,,
3,21,Arizona,Southwest,2011,3148,,,,
3,22,Arizona,Southwest,2012,3161,,,,
3,23,Arizona,Southwest,2013,3311,,,,
3,24,Arizona,Southwest,2014,3495,,,,
4,1,Arkansas,Southeast,1991,343,,,,
4,2,Arkansas,Southeast,1992,376,,,,
4,3,Arkansas,Southeast,1993,408,,,,
4,4,Arkansas,Southeast,1994,391,,,,
4,5,Arkansas,Southeast,1995,396,,,,
4,6,Arkansas,Southeast,1996,409,,,,
4,7,Arkansas,Southeast,1997,429,,,,
4,8,Arkansas,Southeast,1998,439,,,,
4,9,Arkansas,Southeast,1999,450,,,,
4,10,Arkansas,Southeast,2000,487,,,,
4,11,Arkansas,Southeast,2001,643,,,,
4,12,Arkansas,Southeast,2002,810,,,,
4,13,Arkansas,Southeast,2003,753,,,,
4,14,Arkansas,Southeast,2004,822,,,,
4,15,Arkansas,Southeast,2005,820,,,,
4,16,Arkansas,Southeast,2006,848,,,,
4,17,Arkansas,Southeast,2007,1003,,,,
4,18,Arkansas,Southeast,2008,973,,,,
4,19,Arkansas,Southeast,2009,1038,,,,
4,20,Arkansas,Southeast,2010,1311,,,,
4,21,Arkansas,Southeast,2011,1261,,,,
4,22,Arkansas,Southeast,2012,1304,,,,
4,23,Arkansas,Southeast,2013,1334,,,,
4,24,Arkansas,Southeast,2014,1565,,,,
5,1,California,Far West,1991,4880,,,,
5,2,California,Far West,1992,5176,,,,
5,3,California,Far West,1993,6100,,,,
5,4,California,Far West,1994,6369,,,,
5,5,California,Far West,1995,6951,,,,
5,6,California,Far West,1996,7704,,,,
5,7,California,Far West,1997,7519,,,,
5,8,California,Far West,1998,8130,,,,
5,9,California,Far West,1999,9595,,,,
5,10,California,Far West,2000,9054,,,,
5,11,California,Far West,2001,10804,,,,
5,12,California,Far West,2002,10453,,,,
5,13,California,Far West,2003,12850,,,,
5,14,California,Far West,2004,12559,,,,
5,15,California,Far West,2005,13412,,,,
5,16,California,Far West,2006,12771,,,,
5,17,California,Far West,2007,13159,,,,
5,18,California,Far West,2008,15217,,,,
5,19,California,Far West,2009,15533,,,,
5,20,California,Far West,2010,16557,,,,
5,21,California,Far West,2011,18160,,,,
5,22,California,Far West,2012,20237,,,,
5,23,California,Far West,2013,22734,,,,
5,24,California,Far West,2014,24761,,,,
6,1,Colorado,Rocky Mountains,1991,290,,,,
6,2,Colorado,Rocky Mountains,1992,427,,,,
6,3,Colorado,Rocky Mountains,1993,473,,,,
6,4,Colorado,Rocky Mountains,1994,543,,,,
6,5,Colorado,Rocky Mountains,1995,596,,,,
6,6,Colorado,Rocky Mountains,1996,548,,,,
6,7,Colorado,Rocky Mountains,1997,547,,,,
6,8,Colorado,Rocky Mountains,1998,599,,,,
6,9,Colorado,Rocky Mountains,1999,633,,,,
6,10,Colorado,Rocky Mountains,2000,703,,,,
6,11,Colorado,Rocky Mountains,2001,729,,,,
6,12,Colorado,Rocky Mountains,2002,800,,,,
6,13,Colorado,Rocky Mountains,2003,816,,,,
6,14,Colorado,Rocky Mountains,2004,877,,,,
6,15,Colorado,Rocky Mountains,2005,912,,,,
6,16,Colorado,Rocky Mountains,2006,968,,,,
6,17,Colorado,Rocky Mountains,2007,1014,,,,
6,18,Colorado,Rocky Mountains,2008,1101,,,,
6,19,Colorado,Rocky Mountains,2009,1202,,,,
6,20,Colorado,Rocky Mountains,2010,1669,,,,
6,21,Colorado,Rocky Mountains,2011,1780,,,,
6,22,Colorado,Rocky Mountains,2012,1976,,,,
6,23,Colorado,Rocky Mountains,2013,2119,,,,
6,24,Colorado,Rocky Mountains,2014,2460,,,,
7,1,Connecticut,New England,1991,477,,,,
7,2,Connecticut,New England,1992,456,,,,
7,3,Connecticut,New England,1993,526,,,,
7,4,Connecticut,New England,1994,667,,,,
7,5,Connecticut,New England,1995,785,,,,
7,6,Connecticut,New England,1996,880,,,,
7,7,Connecticut,New England,1997,967,,,,
7,8,Connecticut,New England,1998,837,,,,
7,9,Connecticut,New England,1999,791,,,,
7,10,Connecticut,New England,2000,780,,,,
7,11,Connecticut,New England,2001,766,,,,
7,12,Connecticut,New England,2002,844,,,,
7,13,Connecticut,New England,2003,862,,,,
7,14,Connecticut,New England,2004,946,,,,
7,15,Connecticut,New England,2005,942,,,,
7,16,Connecticut,New England,2006,1024,,,,
7,17,Connecticut,New England,2007,1084,,,,
7,18,Connecticut,New England,2008,1191,,,,
7,19,Connecticut,New England,2009,1283,,,,
7,20,Connecticut,New England,2010,1330,,,,
7,21,Connecticut,New England,2011,1582,,,,
7,22,Connecticut,New England,2012,2274,,,,
7,23,Connecticut,New England,2013,2103,,,,
7,24,Connecticut,New England,2014,2236,,,,
8,1,Delaware,Mideast,1991,77,,,,
8,2,Delaware,Mideast,1992,83,,,,
8,3,Delaware,Mideast,1993,91,,,,
8,4,Delaware,Mideast,1994,98,,,,
8,5,Delaware,Mideast,1995,112,,,,
8,6,Delaware,Mideast,1996,125,,,,
8,7,Delaware,Mideast,1997,97,,,,
8,8,Delaware,Mideast,1998,124,,,,
8,9,Delaware,Mideast,1999,111,,,,
8,10,Delaware,Mideast,2000,130,,,,
8,11,Delaware,Mideast,2001,141,,,,
8,12,Delaware,Mideast,2002,155,,,,
8,13,Delaware,Mideast,2003,187,,,,
8,14,Delaware,Mideast,2004,215,,,,
8,15,Delaware,Mideast,2005,259,,,,
8,16,Delaware,Mideast,2006,302,,,,
8,17,Delaware,Mideast,2007,323,,,,
8,18,Delaware,Mideast,2008,320,,,,
8,19,Delaware,Mideast,2009,334,,,,
8,20,Delaware,Mideast,2010,378,,,,
8,21,Delaware,Mideast,2011,424,,,,
8,22,Delaware,Mideast,2012,523,,,,
8,23,Delaware,Mideast,2013,491,,,,
8,24,Delaware,Mideast,2014,549,,,,
9,1,District of Columbia,Mideast,1991,272,,,,
9,2,District of Columbia,Mideast,1992,284,,,,
9,3,District of Columbia,Mideast,1993,345,,,,
9,4,District of Columbia,Mideast,1994,396,,,,
9,5,District of Columbia,Mideast,1995,367,,,,
9,6,District of Columbia,Mideast,1996,386,,,,
9,7,District of Columbia,Mideast,1997,440,,,,
9,8,District of Columbia,Mideast,1998,482,,,,
9,9,District of Columbia,Mideast,1999,423,,,,
9,10,District of Columbia,Mideast,2000,447,,,,
9,11,District of Columbia,Mideast,2001,418,,,,
9,12,District of Columbia,Mideast,2002,448,,,,
9,13,District of Columbia,Mideast,2003,477,,,,
9,14,District of Columbia,Mideast,2004,483,,,,
9,15,District of Columbia,Mideast,2005,565,,,,
9,16,District of Columbia,Mideast,2006,542,,,,
9,17,District of Columbia,Mideast,2007,596,,,,
9,18,District of Columbia,Mideast,2008,556,,,,
9,19,District of Columbia,Mideast,2009,588,,,,
9,20,District of Columbia,Mideast,2010,599,,,,
9,21,District of Columbia,Mideast,2011,652,,,,
9,22,District of Columbia,Mideast,2012,677,,,,
9,23,District of Columbia,Mideast,2013,727,,,,
9,24,District of Columbia,Mideast,2014,681,,,,
10,1,Florida,Southeast,1991,1388,,,,
10,2,Florida,Southeast,1992,1631,,,,
10,3,Florida,Southeast,1993,1865,,,,
10,4,Florida,Southeast,1994,1936,,,,
10,5,Florida,Southeast,1995,2046,,,,
10,6,Florida,Southeast,1996,2022,,,,
10,7,Florida,Southeast,1997,1955,,,,
10,8,Florida,Southeast,1998,2115,,,,
10,9,Florida,Southeast,1999,2098,,,,
10,10,Florida,Southeast,2000,2337,,,,
10,11,Florida,Southeast,2001,2546,,,,
10,12,Florida,Southeast,2002,3037,,,,
10,13,Florida,Southeast,2003,3403,,,,
10,14,Florida,Southeast,2004,4091,,,,
10,15,Florida,Southeast,2005,4123,,,,
10,16,Florida,Southeast,2006,4624,,,,
10,17,Florida,Southeast,2007,4893,,,,
10,18,Florida,Southeast,2008,5418,,,,
10,19,Florida,Southeast,2009,5746,,,,
10,20,Florida,Southeast,2010,6796,,,,
10,21,Florida,Southeast,2011,6833,,,,
10,22,Florida,Southeast,2012,6817,,,,
10,23,Florida,Southeast,2013,6999,,,,
10,24,Florida,Southeast,2014,7833,,,,
11,1,Georgia,Southeast,1991,836,,,,
11,2,Georgia,Southeast,1992,874,,,,
11,3,Georgia,Southeast,1993,1064,,,,
11,4,Georgia,Southeast,1994,1241,,,,
11,5,Georgia,Southeast,1995,1295,,,,
11,6,Georgia,Southeast,1996,1387,,,,
11,7,Georgia,Southeast,1997,1352,,,,
11,8,Georgia,Southeast,1998,1438,,,,
11,9,Georgia,Southeast,1999,1476,,,,
11,10,Georgia,Southeast,2000,2017,,,,
11,11,Georgia,Southeast,2001,2793,,,,
11,12,Georgia,Southeast,2002,3162,,,,
11,13,Georgia,Southeast,2003,3399,,,,
11,14,Georgia,Southeast,2004,2916,,,,
11,15,Georgia,Southeast,2005,3035,,,,
11,16,Georgia,Southeast,2006,2790,,,,
11,17,Georgia,Southeast,2007,3217,,,,
11,18,Georgia,Southeast,2008,3102,,,,
11,19,Georgia,Southeast,2009,2965,,,,
11,20,Georgia,Southeast,2010,3188,,,,
11,21,Georgia,Southeast,2011,3547,,,,
11,22,Georgia,Southeast,2012,3356,,,,
11,23,Georgia,Southeast,2013,3755,,,,
11,24,Georgia,Southeast,2014,3730,,,,
12,1,Hawaii,Far West,1991,104,,,,
12,2,Hawaii,Far West,1992,110,,,,
12,3,Hawaii,Far West,1993,149,,,,
12,4,Hawaii,Far West,1994,210,,,,
12,5,Hawaii,Far West,1995,307,,,,
12,6,Hawaii,Far West,1996,263,,,,
12,7,Hawaii,Far West,1997,288,,,,
12,8,Hawaii,Far West,1998,244,,,,
12,9,Hawaii,Far West,1999,256,,,,
12,10,Hawaii,Far West,2000,251,,,,
12,11,Hawaii,Far West,2001,245,,,,
12,12,Hawaii,Far West,2002,284,,,,
12,13,Hawaii,Far West,2003,284,,,,
12,14,Hawaii,Far West,2004,347,,,,
12,15,Hawaii,Far West,2005,373,,,,
12,16,Hawaii,Far West,2006,372,,,,
12,17,Hawaii,Far West,2007,407,,,,
12,18,Hawaii,Far West,2008,389,,,,
12,19,Hawaii,Far West,2009,389,,,,
12,20,Hawaii,Far West,2010,487,,,,
12,21,Hawaii,Far West,2011,568,,,,
12,22,Hawaii,Far West,2012,406,,,,
12,23,Hawaii,Far West,2013,511,,,,
12,24,Hawaii,Far West,2014,614,,,,
13,1,Idaho,Rocky Mountains,1991,78,,,,
13,2,Idaho,Rocky Mountains,1992,82,,,,
13,3,Idaho,Rocky Mountains,1993,87,,,,
13,4,Idaho,Rocky Mountains,1994,91,,,,
13,5,Idaho,Rocky Mountains,1995,97,,,,
13,6,Idaho,Rocky Mountains,1996,117,,,,
13,7,Idaho,Rocky Mountains,1997,113,,,,
13,8,Idaho,Rocky Mountains,1998,129,,,,
13,9,Idaho,Rocky Mountains,1999,140,,,,
13,10,Idaho,Rocky Mountains,2000,157,,,,
13,11,Idaho,Rocky Mountains,2001,182,,,,
13,12,Idaho,Rocky Mountains,2002,199,,,,
13,13,Idaho,Rocky Mountains,2003,210,,,,
13,14,Idaho,Rocky Mountains,2004,257,,,,
13,15,Idaho,Rocky Mountains,2005,230,,,,
13,16,Idaho,Rocky Mountains,2006,250,,,,
13,17,Idaho,Rocky Mountains,2007,286,,,,
13,18,Idaho,Rocky Mountains,2008,305,,,,
13,19,Idaho,Rocky Mountains,2009,341,,,,
13,20,Idaho,Rocky Mountains,2010,408,,,,
13,21,Idaho,Rocky Mountains,2011,414,,,,
13,22,Idaho,Rocky Mountains,2012,548,,,,
13,23,Idaho,Rocky Mountains,2013,571,,,,
13,24,Idaho,Rocky Mountains,2014,530,,,,
14,1,Illinois,Great Lakes,1991,1119,,,,
14,2,Illinois,Great Lakes,1992,1767,,,,
14,3,Illinois,Great Lakes,1993,2343,,,,
14,4,Illinois,Great Lakes,1994,2516,,,,
14,5,Illinois,Great Lakes,1995,2691,,,,
14,6,Illinois,Great Lakes,1996,3021,,,,
14,7,Illinois,Great Lakes,1997,3069,,,,
14,8,Illinois,Great Lakes,1998,3027,,,,
14,9,Illinois,Great Lakes,1999,3019,,,,
14,10,Illinois,Great Lakes,2000,3486,,,,
14,11,Illinois,Great Lakes,2001,3409,,,,
14,12,Illinois,Great Lakes,2002,3628,,,,
14,13,Illinois,Great Lakes,2003,4137,,,,
14,14,Illinois,Great Lakes,2004,4257,,,,
14,15,Illinois,Great Lakes,2005,4823,,,,
14,16,Illinois,Great Lakes,2006,4826,,,,
14,17,Illinois,Great Lakes,2007,6108,,,,
14,18,Illinois,Great Lakes,2008,5913,,,,
14,19,Illinois,Great Lakes,2009,7369,,,,
14,20,Illinois,Great Lakes,2010,7753,,,,
14,21,Illinois,Great Lakes,2011,5995,,,,
14,22,Illinois,Great Lakes,2012,5772,,,,
14,23,Illinois,Great Lakes,2013,7575,,,,
14,24,Illinois,Great Lakes,2014,7121,,,,
15,1,Indiana,Great Lakes,1991,685,,,,
15,2,Indiana,Great Lakes,1992,824,,,,
15,3,Indiana,Great Lakes,1993,1114,,,,
15,4,Indiana,Great Lakes,1994,890,,,,
15,5,Indiana,Great Lakes,1995,804,,,,
15,6,Indiana,Great Lakes,1996,955,,,,
15,7,Indiana,Great Lakes,1997,914,,,,
15,8,Indiana,Great Lakes,1998,1049,,,,
15,9,Indiana,Great Lakes,1999,1203,,,,
15,10,Indiana,Great Lakes,2000,1492,,,,
15,11,Indiana,Great Lakes,2001,1536,,,,
15,12,Indiana,Great Lakes,2002,1423,,,,
15,13,Indiana,Great Lakes,2003,1330,,,,
15,14,Indiana,Great Lakes,2004,1634,,,,
15,15,Indiana,Great Lakes,2005,1435,,,,
15,16,Indiana,Great Lakes,2006,1632,,,,
15,17,Indiana,Great Lakes,2007,1981,,,,
15,18,Indiana,Great Lakes,2008,2387,,,,
15,19,Indiana,Great Lakes,2009,2007,,,,
15,20,Indiana,Great Lakes,2010,1849,,,,
15,21,Indiana,Great Lakes,2011,1630,,,,
15,22,Indiana,Great Lakes,2012,2591,,,,
15,23,Indiana,Great Lakes,2013,2164,,,,
15,24,Indiana,Great Lakes,2014,3113,,,,
16,1,Iowa,Plains,1991,296,,,,
16,2,Iowa,Plains,1992,333,,,,
16,3,Iowa,Plains,1993,391,,,,
16,4,Iowa,Plains,1994,415,,,,
16,5,Iowa,Plains,1995,421,,,,
16,6,Iowa,Plains,1996,451,,,,
16,7,Iowa,Plains,1997,418,,,,
16,8,Iowa,Plains,1998,491,,,,
16,9,Iowa,Plains,1999,484,,,,
16,10,Iowa,Plains,2000,606,,,,
16,11,Iowa,Plains,2001,598,,,,
16,12,Iowa,Plains,2002,785,,,,
16,13,Iowa,Plains,2003,690,,,,
16,14,Iowa,Plains,2004,691,,,,
16,15,Iowa,Plains,2005,690,,,,
16,16,Iowa,Plains,2006,863,,,,
16,17,Iowa,Plains,2007,854,,,,
16,18,Iowa,Plains,2008,924,,,,
16,19,Iowa,Plains,2009,933,,,,
16,20,Iowa,Plains,2010,988,,,,
16,21,Iowa,Plains,2011,1103,,,,
16,22,Iowa,Plains,2012,1244,,,,
16,23,Iowa,Plains,2013,1177,,,,
16,24,Iowa,Plains,2014,1409,,,,
17,1,Kansas,Plains,1991,223,,,,
17,2,Kansas,Plains,1992,296,,,,
17,3,Kansas,Plains,1993,337,,,,
17,4,Kansas,Plains,1994,326,,,,
17,5,Kansas,Plains,1995,297,,,,
17,6,Kansas,Plains,1996,288,,,,
17,7,Kansas,Plains,1997,304,,,,
17,8,Kansas,Plains,1998,291,,,,
17,9,Kansas,Plains,1999,307,,,,
17,10,Kansas,Plains,2000,412,,,,
17,11,Kansas,Plains,2001,421,,,,
17,12,Kansas,Plains,2002,479,,,,
17,13,Kansas,Plains,2003,390,,,,
17,14,Kansas,Plains,2004,486,,,,
17,15,Kansas,Plains,2005,548,,,,
17,16,Kansas,Plains,2006,665,,,,
17,17,Kansas,Plains,2007,697,,,,
17,18,Kansas,Plains,2008,762,,,,
17,19,Kansas,Plains,2009,799,,,,
17,20,Kansas,Plains,2010,814,,,,
17,21,Kansas,Plains,2011,954,,,,
17,22,Kansas,Plains,2012,945,,,,
17,23,Kansas,Plains,2013,796,,,,
17,24,Kansas,Plains,2014,708,,,,
18,1,Kentucky,Southeast,1991,395,,,,
18,2,Kentucky,Southeast,1992,582,,,,
18,3,Kentucky,Southeast,1993,637,,,,
18,4,Kentucky,Southeast,1994,712,,,,
18,5,Kentucky,Southeast,1995,790,,,,
18,6,Kentucky,Southeast,1996,860,,,,
18,7,Kentucky,Southeast,1997,951,,,,
18,8,Kentucky,Southeast,1998,1038,,,,
18,9,Kentucky,Southeast,1999,1025,,,,
